store_id,type,store_type,type2,size,price,price_per_oz,price_per_oz_c,taxed,supp,time,product_id
16,WATER,2,,33.8,1.69,0.05,5,0,0,DEC2014,29
16,TEA,2,,23,0.99,0.043043478,4.304347826,1,0,DEC2014,32
16,TEA,2,,23,0.99,0.043043478,4.304347826,1,0,DEC2014,33
16,WATER,2,,33.8,1.69,0.05,5,0,0,DEC2014,38
16,MILK,2,LOW FAT MILK,128,3.79,0.029609375,2.9609375,0,0,DEC2014,40
16,MILK,2,LOW FAT MILK,64,2.79,0.04359375,4.359375,0,0,DEC2014,41
16,MILK,2,WHOLE MILK,128,3.79,0.029609375,2.9609375,0,0,DEC2014,42
16,MILK,2,WHOLE MILK,64,2.79,0.04359375,4.359375,0,0,DEC2014,43
16,JUICE,2,,63.9,4.59,0.071830986,7.183098592,0,0,DEC2014,44
16,SODA,2,,144,5.99,0.041597222,4.159722222,1,1,DEC2014,50
16,SODA,2,,20,1.89,0.0945,9.45,1,0,DEC2014,59
16,SODA,2,,67.6,2.49,0.03683432,3.683431953,1,0,DEC2014,60
16,SODA-DIET,2,,20,1.89,0.0945,9.45,0,0,DEC2014,61
16,SODA-DIET,2,,144,5.99,0.041597222,4.159722222,0,1,DEC2014,81
16,SODA-DIET,2,,144,5.99,0.041597222,4.159722222,0,1,DEC2014,91
16,SODA-DIET,2,,67.6,2.49,0.03683432,3.683431953,0,0,DEC2014,97
16,SODA-DIET,2,,67.6,2.49,0.03683432,3.683431953,0,0,DEC2014,98
16,SODA-DIET,2,,67.6,2.49,0.03683432,3.683431953,0,0,DEC2014,100
16,SODA-DIET,2,,12,0.99,0.0825,8.25,0,0,DEC2014,104
16,SODA-DIET,2,,20,1.89,0.0945,9.45,0,0,DEC2014,105
16,ENERGY-DIET,2,,6,2.59,0.431666667,43.16666667,0,0,DEC2014,108
16,SODA-DIET,2,,20,1.89,0.0945,9.45,0,0,DEC2014,110
16,SODA-DIET,2,,20,1.89,0.0945,9.45,0,0,DEC2014,112
16,ENERGY-DIET,2,,8.4,2.49,0.296428571,29.64285714,0,0,DEC2014,113
16,ENERGY-DIET,2,,6,2.19,0.365,36.5,0,0,DEC2014,114
16,SODA,2,,67.6,2.49,0.03683432,3.683431953,1,0,DEC2014,125
16,SODA,2,,12,0.99,0.0825,8.25,1,0,DEC2014,126
16,SODA,2,,20,1.89,0.0945,9.45,1,1,DEC2014,130
